VEHICLE NAME,MAKE,MODEL,YEAR,Body style,First registration date,Condition,Colour,KM,KM_UNIT,Transmission,Drivetrain,Fuel type,KW,KW_UNIT,CAPACITY,CAPACITY UNIT,Doors,Fuel consumption,CO2 emissions,Seats,Cylinders,Kerb weight,Type approval number,Warranty,PRICE,CURRENCY,URL
SKODA Karoq 2.0TDI Style 4x4,SKODA,Karoq, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Four wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 5.1,134 g/km,5,4,1'751 kg,1SG197,Yes,45980,CHF,https://www.autolina.ch/en/auto/skoda-karoq/2553157
SKODA Fabia 1.0 TSI Monte Carlo,SKODA,Fabia, 2020 ,saloon/hatchback,,New car(s),blue,100,KM,Manual,Front wheel drive,Petrol,70,KW,999,cc,5,0.0 / 0.0 / 4.6,104 g/km,5,3,1'080 kg,1SG690,Yes,23320,CHF,https://www.autolina.ch/en/auto/skoda-fabia/2602741
SKODA Octavia 1.5 TSI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),"white, met.",100,KM,Automatic,Front wheel drive,Petrol,110,KW,1'498,cc,5,0.0 / 0.0 / 5.1,116 g/km,5,4,1'505 kg,1SG729,Yes,30440,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2602742
SEAT Ibiza 1.0 EcoTS FR,SEAT,Ibiza, 2020 ,saloon/hatchback,,New car(s),red,100,KM,Automatic,Front wheel drive,Petrol,85,KW,999,cc,5,0.0 / 0.0 / 4.5,105 g/km,5,3,1'164 kg,1SH826,Yes,25450,CHF,https://www.autolina.ch/en/auto/seat-ibiza/2605276
SEAT Ibiza 1.0 EcoTSI Sol,SEAT,Ibiza, 2020 ,saloon/hatchback,,New car(s),"black, met.",100,KM,Manual,Front wheel drive,Petrol,70,KW,999,cc,5,5.8 / 4.1 / 4.7,106 g/km,5,3,1'122 kg,1SH825,Yes,15180,CHF,https://www.autolina.ch/en/auto/seat-ibiza/2605279
SEAT Ibiza 1.0 EcoTS FR,SEAT,Ibiza, 2020 ,saloon/hatchback,,New car(s),other,100,KM,Manual,Front wheel drive,Petrol,85,KW,999,cc,5,0.0 / 0.0 / 4.5,105 g/km,5,3,1'140 kg,1SH826,Yes,23460,CHF,https://www.autolina.ch/en/auto/seat-ibiza/2605271
SKODA Kodiaq 2.0 Bi-TDI RS,SKODA,Kodiaq, 2020 ,Estate,,New car(s),"grey, met.",100,KM,Automatic,Four wheel drive,Diesel,176,KW,1'968,cc,5,0.0 / 0.0 / 6.4,167 g/km,5,4,1'998 kg,1SG674,Yes,62560,CHF,https://www.autolina.ch/en/auto/skoda-kodiaq/2602743
SKODA Octavia 1.5 G-tec Amb.CNG,SKODA,Octavia, 2020 ,Estate,,New car(s),"white, met.",100,KM,Automatic,Front wheel drive,Natural Gas (CNG) / Petrol,96,KW,1'498,cc,5,,96 g/km,5,4,1'509 kg,1SG662,Yes,29650,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2586643
SKODA Octavia 1.6 TDI Ambition,SKODA,Octavia, 2020 ,Estate,,New car(s),white,100,KM,Manual,Front wheel drive,Diesel,85,KW,1'598,cc,5,0.0 / 0.0 / 4.2,109 g/km,5,4,1'567 kg,1SG660,Yes,30210,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593544
CITROEN Berlingo Worker 1000 Standard 1.5 BHDi,CITROEN,Berlingo, 2020 ,Van,,New car(s),white,8,KM,Manual,Front wheel drive,Diesel,73,KW,1'499,cc,3,,,3,4,1'395 kg,,Yes,22006,CHF,https://www.autolina.ch/en/auto/citroen-berlingo/2370822
